vendor,sku,price,list_price,date
Slack,standard,7.25,8.00,2025-06-01
Slack,standard,7.50,8.00,2025-07-01
Slack,standard,7.50,8.00,2025-08-01
Slack,standard,7.75,8.00,2025-09-01
Slack,standard,7.75,8.00,2025-10-01
Slack,standard,8.00,8.00,2025-11-01
Slack,standard,8.25,8.50,2025-12-01
Slack,standard,8.25,8.50,2026-01-01
Slack,standard,8.50,8.50,2026-02-01
Slack,standard,8.50,8.50,2026-03-01
Slack,standard,8.75,9.00,2026-04-01
Slack,standard,9.00,9.00,2026-05-01
GitHub,team,4.00,4.00,2025-06-01
GitHub,team,4.00,4.00,2025-07-01
GitHub,team,3.75,4.00,2025-08-01
GitHub,team,3.75,4.00,2025-09-01
GitHub,team,3.50,4.00,2025-10-01
GitHub,team,3.50,4.00,2025-11-01
GitHub,team,3.25,4.00,2025-12-01
GitHub,team,3.25,4.00,2026-01-01
GitHub,team,3.00,4.00,2026-02-01
GitHub,team,3.00,4.00,2026-03-01
GitHub,team,2.75,4.00,2026-04-01
GitHub,team,2.75,4.00,2026-05-01
Salesforce,enterprise,150.00,150.00,2025-06-01
Salesforce,enterprise,150.00,150.00,2025-07-01
Salesforce,enterprise,155.00,160.00,2025-08-01
Salesforce,enterprise,155.00,160.00,2025-09-01
Salesforce,enterprise,160.00,160.00,2025-10-01
Salesforce,enterprise,165.00,170.00,2025-11-01
Salesforce,enterprise,170.00,170.00,2025-12-01
Salesforce,enterprise,170.00,175.00,2026-01-01
Salesforce,enterprise,175.00,175.00,2026-02-01
Salesforce,enterprise,175.00,180.00,2026-03-01
Salesforce,enterprise,180.00,180.00,2026-04-01
Salesforce,enterprise,185.00,190.00,2026-05-01
DigitalOcean,basic,5.00,6.00,2025-06-01
DigitalOcean,basic,5.00,6.00,2025-07-01
DigitalOcean,basic,5.00,6.00,2025-08-01
DigitalOcean,basic,5.00,6.00,2025-09-01
DigitalOcean,basic,5.00,6.00,2025-10-01
DigitalOcean,basic,5.00,6.00,2025-11-01
DigitalOcean,basic,5.00,6.00,2025-12-01
DigitalOcean,basic,5.00,6.00,2026-01-01
DigitalOcean,basic,5.00,6.00,2026-02-01
DigitalOcean,basic,5.00,6.00,2026-03-01
DigitalOcean,basic,5.00,6.00,2026-04-01
DigitalOcean,basic,5.00,6.00,2026-05-01
